Threat,Vector,Date,User,Source,Action,Size,Attatchments
1,2,09/21/2010 23:01:27,LQC0479,PC-6380,Disconnect,,
1,2,02/08/2011 05:57,MAR0955,PC-6793,Connect,,
1,2,02/08/2011 06:00,MAR0955,PC-6793,Disconnect,,
1,2,02/09/2011 02:50,MAR0955,PC-6793,Connect,,
1,2,02/09/2011 02:50,MAR0955,PC-6793,Disconnect,,
1,2,02/11/2011 06:14,MAR0955,PC-6793,Connect,,
1,2,02/11/2011 06:20,MAR0955,PC-6793,Disconnect,,
1,2,09/29/2010 01:41:20,MAS0025,PC-2512,Connect,,
1,2,09/29/2010 03:12:18,MAS0025,PC-2512,Disconnect,,
1,2,09/30/2010 22:32:21,MAS0025,PC-2512,Connect,,
1,2,09/30/2010 22:34:50,MAS0025,PC-2512,Disconnect,,
1,2,09/20/2010 23:54:51,MCF0600,PC-8790,Connect,,
1,2,09/20/2010 23:56:43,MCF0600,PC-8790,Disconnect,,
1,2,09/22/2010 03:09:40,MCF0600,PC-8790,Connect,,
1,2,09/22/2010 04:26:52,MCF0600,PC-8790,Disconnect,,
1,2,09/23/2010 00:45:10,MCF0600,PC-8790,Connect,,
1,2,09/23/2010 01:53:09,MCF0600,PC-8790,Disconnect,,
1,2,12/13/2010 21:29:28,MYD0978,PC-3401,Connect,,
1,2,12/13/2010 21:32:27,MYD0978,PC-3401,Disconnect,,
1,2,12/15/2010 06:29:28,MYD0978,PC-3401,Connect,,
1,2,12/15/2010 06:33:08,MYD0978,PC-3401,Disconnect,,
1,2,12/18/2010 06:58:54,MYD0978,PC-3401,Connect,,
1,2,12/18/2010 07:00:32,MYD0978,PC-3401,Disconnect,,
1,2,02/09/2011 05:01,PPF0435,PC-1809,Connect,,
1,2,02/09/2011 06:42,PPF0435,PC-1809,Disconnect,,
1,2,09/13/2010 23:27:48,RAB0589,PC-1609,Connect,,
1,2,09/13/2010 23:31:37,RAB0589,PC-1609,Disconnect,,
1,2,09/23/2010 07:26:35,RAB0589,PC-1609,Connect,,
1,2,09/23/2010 07:27:07,RAB0589,PC-1609,Disconnect,,
1,2,10/20/2010 21:59:42,RGG0064,PC-8859,Connect,,
1,2,10/20/2010 22:12:01,RGG0064,PC-8859,Disconnect,,
1,2,10/22/2010 02:25:49,RGG0064,PC-8859,Connect,,
1,2,10/22/2010 02:55:16,RGG0064,PC-8859,Disconnect,,
1,2,10/27/2010 03:00:28,RGG0064,PC-8859,Connect,,
1,2,10/27/2010 03:02:07,RGG0064,PC-8859,Disconnect,,
1,2,07/13/2010 20:59:18,RKD0604,PC-9379,Connect,,
1,2,07/13/2010 21:08:04,RKD0604,PC-9379,Disconnect,,
1,2,07/20/2010 03:10:32,RKD0604,PC-9379,Connect,,
1,2,07/20/2010 03:30:30,RKD0604,PC-9379,Disconnect,,
1,2,10/23/2010 04:51:15,TAP0551,PC-7623,Connect,,
1,2,10/23/2010 05:21:45,TAP0551,PC-7623,Disconnect,,
1,2,10/29/2010 05:23:04,TAP0551,PC-7623,Connect,,
1,2,10/29/2010 05:44:34,TAP0551,PC-7623,Disconnect,,
1,2,02/24/2011 22:07:28,WDD0366,PC-0155,Connect,,
1,2,02/24/2011 22:31:31,WDD0366,PC-0155,Disconnect,,
1,2,03/02/2011 22:24,WDD0366,PC-0155,Connect,,
1,2,03/02/2011 22:36,WDD0366,PC-0155,Disconnect,,
1,2,08/03/2010 13:55,AAF0535,PC-2408,Connect,,
1,2,08/03/2010 13:58,AAF0535,PC-2408,Disconnect,,
1,2,08/03/2010 14:01,AAF0535,PC-2408,Connect,,
1,2,08/03/2010 14:05,AAF0535,PC-2408,Disconnect,,
1,2,08/03/2010 14:09,AAF0535,PC-2408,Connect,,
1,2,08/03/2010 14:10,AAF0535,PC-2408,Disconnect,,
1,2,08/03/2010 14:12,AAF0535,PC-2408,Connect,,
1,2,08/03/2010 14:23,AAF0535,PC-2408,Disconnect,,
1,2,08/03/2010 14:29,AAF0535,PC-2408,Connect,,
1,2,08/03/2010 14:29,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 10:08,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 10:09,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 10:55,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 11:04,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 11:27,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 12:06,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 12:08,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 12:16,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 13:01,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 13:29,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 13:44,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 13:49,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 14:04,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 14:19,AAF0535,PC-2408,Disconnect,,
1,2,08/05/2010 14:25,AAF0535,PC-2408,Connect,,
1,2,08/05/2010 14:50,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 09:12,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 09:22,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 11:02,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 11:07,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 11:27,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 11:31,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 14:51,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 14:52,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 15:11,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 15:15,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 15:25,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 15:50,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 15:55,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 16:01,AAF0535,PC-2408,Disconnect,,
1,2,08/09/2010 16:08,AAF0535,PC-2408,Connect,,
1,2,08/09/2010 16:21,AAF0535,PC-2408,Disconnect,,
1,2,08/10/2010 10:16,AAF0535,PC-2408,Connect,,
1,2,08/10/2010 10:37,AAF0535,PC-2408,Disconnect,,
1,2,08/10/2010 12:01,AAF0535,PC-2408,Connect,,
1,2,08/10/2010 12:31,AAF0535,PC-2408,Disconnect,,
1,2,08/10/2010 12:33,AAF0535,PC-2408,Connect,,
1,2,08/10/2010 13:04,AAF0535,PC-2408,Disconnect,,
1,2,08/10/2010 14:04,AAF0535,PC-2408,Connect,,
1,2,08/10/2010 14:13,AAF0535,PC-2408,Disconnect,,
1,2,08/10/2010 15:31,AAF0535,PC-2408,Connect,,
1,2,08/10/2010 15:43,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 10:37,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 10:40,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 10:45,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 10:51,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 12:09,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 12:54,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 13:43,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 14:11,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 14:21,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 14:28,AAF0535,PC-2408,Disconnect,,
1,2,08/12/2010 15:48,AAF0535,PC-2408,Connect,,
1,2,08/12/2010 16:10,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 09:45:12,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 10:08:52,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 10:18:57,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 10:53:55,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 12:51:03,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 13:02:09,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 13:34:07,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 13:51:58,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 14:49:52,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 15:20:31,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 15:24:11,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 16:02:57,AAF0535,PC-2408,Disconnect,,
1,2,08/13/2010 16:32:20,AAF0535,PC-2408,Connect,,
1,2,08/13/2010 16:38:26,AAF0535,PC-2408,Disconnect,,
1,2,08/20/2010 10:51:38,AAF0535,PC-2408,Connect,,
1,2,08/20/2010 10:59:23,AAF0535,PC-2408,Disconnect,,
1,2,08/20/2010 12:31:13,AAF0535,PC-2408,Connect,,
1,2,08/20/2010 13:05:01,AAF0535,PC-2408,Disconnect,,
1,2,08/20/2010 13:17:52,AAF0535,PC-2408,Connect,,
1,2,08/20/2010 13:20:41,AAF0535,PC-2408,Disconnect,,
1,2,08/20/2010 14:43:32,AAF0535,PC-2408,Connect,,
1,2,08/20/2010 14:43:46,AAF0535,PC-2408,Disconnect,,
1,2,08/20/2010 15:21:41,AAF0535,PC-2408,Connect,,
1,2,08/20/2010 15:38:04,AAF0535,PC-2408,Disconnect,,
1,2,12/01/2010 10:30,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 10:58,ABC0174,PC-5156,Disconnect,,
1,2,12/01/2010 11:06,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 11:12,ABC0174,PC-5156,Disconnect,,
1,2,12/01/2010 12:38,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 12:47,ABC0174,PC-5156,Disconnect,,
1,2,12/01/2010 14:24,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 14:47,ABC0174,PC-5156,Disconnect,,
1,2,12/01/2010 15:03,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 15:07,ABC0174,PC-5156,Disconnect,,
1,2,12/01/2010 15:23,ABC0174,PC-5156,Connect,,
1,2,12/01/2010 15:33,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 08:17,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 08:21,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 08:27,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 08:27,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 09:35,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 09:56,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 10:22,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 10:42,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 10:45,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 10:47,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 11:22,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 11:23,ABC0174,PC-5156,Disconnect,,
1,2,12/06/2010 11:38,ABC0174,PC-5156,Connect,,
1,2,12/06/2010 11:47,ABC0174,PC-5156,Disconnect,,
1,2,12/10/2010 09:01,ABC0174,PC-5156,Connect,,
1,2,12/10/2010 09:05,ABC0174,PC-5156,Disconnect,,
1,2,12/10/2010 09:16,ABC0174,PC-5156,Connect,,
1,2,12/10/2010 09:17,ABC0174,PC-5156,Disconnect,,
1,2,12/10/2010 09:20,ABC0174,PC-5156,Connect,,
1,2,12/10/2010 09:31,ABC0174,PC-5156,Disconnect,,
1,2,12/10/2010 15:15,ABC0174,PC-5156,Connect,,
1,2,12/10/2010 15:21,ABC0174,PC-5156,Disconnect,,
1,2,12/10/2010 15:30,ABC0174,PC-5156,Connect,,
1,2,12/10/2010 15:36,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 07:36,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 07:45,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 08:10,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 08:18,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 08:32,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 08:36,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 11:10,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 11:10,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 12:57,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 12:59,ABC0174,PC-5156,Disconnect,,
1,2,12/11/2010 15:16,ABC0174,PC-5156,Connect,,
1,2,12/11/2010 15:39,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 08:38:58,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 08:53:11,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 10:38:39,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 10:39:07,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 10:59:32,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 11:05:25,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 12:44:25,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 12:49:54,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 13:07:59,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 13:28:21,ABC0174,PC-5156,Disconnect,,
1,2,12/13/2010 14:46:36,ABC0174,PC-5156,Connect,,
1,2,12/13/2010 15:00:12,ABC0174,PC-5156,Disconnect,,
1,2,12/16/2010 07:49:36,ABC0174,PC-5156,Connect,,
1,2,12/16/2010 07:56:03,ABC0174,PC-5156,Disconnect,,
1,2,12/16/2010 07:59:20,ABC0174,PC-5156,Connect,,
1,2,12/16/2010 08:21:19,ABC0174,PC-5156,Disconnect,,
1,2,12/16/2010 09:26:16,ABC0174,PC-5156,Connect,,
1,2,12/16/2010 09:29:10,ABC0174,PC-5156,Disconnect,,
1,2,12/16/2010 13:36:15,ABC0174,PC-5156,Connect,,
1,2,12/16/2010 13:38:04,ABC0174,PC-5156,Disconnect,,
1,2,12/16/2010 13:56:18,ABC0174,PC-5156,Connect,,
1,2,12/16/2010 14:00:55,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 08:49:57,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 09:14:05,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 09:15:19,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 09:33:01,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 09:53:02,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 10:09:43,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 13:46:23,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 13:59:16,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 14:15:40,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 14:24:16,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 14:26:44,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 14:46:11,ABC0174,PC-5156,Disconnect,,
1,2,12/21/2010 15:06:11,ABC0174,PC-5156,Connect,,
1,2,12/21/2010 15:24:23,ABC0174,PC-5156,Disconnect,,
1,2,12/24/2010 11:59:27,ABC0174,PC-5156,Connect,,
1,2,12/24/2010 12:40:36,ABC0174,PC-5156,Disconnect,,
1,2,12/24/2010 12:41:27,ABC0174,PC-5156,Connect,,
1,2,12/24/2010 12:42:37,ABC0174,PC-5156,Disconnect,,
1,2,12/24/2010 14:11:44,ABC0174,PC-5156,Connect,,
1,2,12/24/2010 14:29:57,ABC0174,PC-5156,Disconnect,,
1,2,12/24/2010 14:49:30,ABC0174,PC-5156,Connect,,
1,2,12/24/2010 14:52:46,ABC0174,PC-5156,Disconnect,,
1,2,12/24/2010 14:55:37,ABC0174,PC-5156,Connect,,
1,2,12/24/2010 15:53:02,ABC0174,PC-5156,Disconnect,,
1,2,11/01/2010 09:39,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 09:54,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 11:51,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 12:11,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 13:21,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 13:30,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 14:15,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 14:26,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 15:39,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 15:45,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 17:18,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 17:24,AKR0057,PC-2879,Disconnect,,
1,2,11/01/2010 18:16,AKR0057,PC-2879,Connect,,
1,2,11/01/2010 18:33,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 08:14,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 08:27,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 10:21,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 10:40,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 10:44,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 11:16,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 15:04,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 15:10,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 15:57,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 16:18,AKR0057,PC-2879,Disconnect,,
1,2,11/11/2010 17:18,AKR0057,PC-2879,Connect,,
1,2,11/11/2010 17:38,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 10:40,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 11:13,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 12:24,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 12:29,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 13:24,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 13:49,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 14:56,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 15:11,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 16:17,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 16:22,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 17:29,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 17:35,AKR0057,PC-2879,Disconnect,,
1,2,11/12/2010 17:50,AKR0057,PC-2879,Connect,,
1,2,11/12/2010 18:35,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:14:38,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:15:03,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:15:40,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:16:21,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:16:25,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:16:36,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:18:13,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:18:46,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:18:58,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:19:14,AKR0057,PC-2879,Disconnect,,
1,2,11/15/2010 15:20:10,AKR0057,PC-2879,Connect,,
1,2,11/15/2010 15:20:17,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 09:33:08,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 09:44:54,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 10:08:06,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 10:46:47,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 11:00:11,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 11:21:17,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 11:46:11,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 11:56:21,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 14:01:54,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 14:18:46,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 16:32:55,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 16:44:21,AKR0057,PC-2879,Disconnect,,
1,2,11/16/2010 18:10:54,AKR0057,PC-2879,Connect,,
1,2,11/16/2010 18:12:56,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 08:24:36,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 08:43:23,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 09:22:51,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 09:56:38,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 10:18:49,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 10:26:18,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 13:49:34,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 13:54:25,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 15:48:30,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 15:49:49,AKR0057,PC-2879,Disconnect,,
1,2,11/18/2010 16:38:42,AKR0057,PC-2879,Connect,,
1,2,11/18/2010 16:53:20,AKR0057,PC-2879,Disconnect,,
